Season,Id,Date,Time,League,Home,Away,Round_number,FT_Goals_H,FT_Goals_A,FT_Odd_ML_Bookie,FT_Odd_ML_H,FT_Odd_ML_D,FT_Odd_ML_A,HT_Odd_OU_05_Bookie,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_OU_05_Bookie,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_OU_15_Bookie,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_OU_25_Bookie,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_OU_35_Bookie,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_OU_45_Bookie,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Bookie,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2023,U5BfuJcT,2023-05-06,16:00,BRASIL - SÉRIE A,Cruzeiro,Santos,RODADA 4,2,1,bet365,1.73,3.6,5.25,bet365,1.5,2.5,bet365,1.07,9.0,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.1,1.67
2023,IqascJyP,2023-05-06,16:00,BRASIL - SÉRIE B,Criciúma,Ituano,RODADA 5,2,1,Betano.br,1.78,3.3,4.7,Betano.br,1.53,2.35,Betano.br,1.09,6.0,Betano.br,1.44,2.62,Betano.br,2.27,1.57,Betano.br,4.0,1.21,Betano.br,6.9,1.07,Betano.br,2.1,1.65
2023,tKc4fEcQ,2023-05-06,16:00,BRASIL - SÉRIE C,Amazonas,América-RN,PRIMEIRA FASE ,2,0,Betano.br,2.7,2.65,3.0,Betano.br,1.55,2.3,Betano.br,1.1,5.9,Betano.br,1.44,2.62,Betano.br,2.25,1.57,Betano.br,3.95,1.21,Betano.br,6.9,1.07,Betano.br,1.88,1.82
2023,6m6EXjjD,2023-05-06,16:30,BRASIL - SÉRIE C,Floresta,Volta Redonda,PRIMEIRA FASE ,2,1,Betano.br,2.45,2.8,3.2,Betano.br,1.6,2.2,Betano.br,1.12,5.4,Betano.br,1.5,2.42,Betano.br,2.42,1.5,Betano.br,4.4,1.17,Betano.br,7.6,1.05,Betano.br,2.05,1.7
2023,js1gQHed,2023-05-06,18:00,ARGENTINA - LIGA PROFISSIONAL,Belgrano,Atl. Tucuman,RODADA 15,1,0,bet365,2.3,3.1,3.4,bet365,1.57,2.25,bet365,1.11,6.5,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.2,1.62
2023,b59LTj2l,2023-05-06,18:00,ARGENTINA - LIGA PROFISSIONAL,Colón,Banfield,RODADA 15,2,0,bet365,2.15,3.2,3.6,bet365,1.5,2.5,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.25,1.62,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.95,1.8
2023,YeZjHMMt,2023-05-06,18:15,BRASIL - SÉRIE B,Mirassol,Vila Nova,RODADA 5,1,1,Betano.br,1.95,3.1,4.05,Betano.br,1.57,2.27,Betano.br,1.11,5.7,Betano.br,1.47,2.5,Betano.br,2.4,1.5,Betano.br,4.3,1.18,Betano.br,7.4,1.06,Betano.br,2.12,1.65
2023,UNSaF0ig,2023-05-06,18:15,BRASIL - SÉRIE B,Sampaio Corrêa,Juventude,RODADA 5,2,1,Betano.br,1.93,3.3,3.9,Betano.br,1.47,2.52,Betano.br,1.06,7.8,Betano.br,1.37,2.92,Betano.br,2.15,1.65,Betano.br,3.9,1.23,Betano.br,7.6,1.06,Betano.br,1.93,1.78
2023,xlW7DvM5,2023-05-06,18:15,BRASIL - SÉRIE B,Tombense,Avaí,RODADA 5,0,1,Betano.br,1.95,3.2,3.95,Betano.br,1.53,2.32,Betano.br,1.1,6.0,Betano.br,1.44,2.57,Betano.br,2.3,1.55,Betano.br,4.05,1.2,Betano.br,7.1,1.06,Betano.br,2.05,1.7
2023,KW32zg6f,2023-05-06,19:00,BRASIL - SÉRIE C,Náutico,São José,PRIMEIRA FASE ,2,1,Betano.br,1.57,3.6,6.1,Betano.br,1.53,2.35,Betano.br,1.09,6.0,Betano.br,1.45,2.57,Betano.br,2.32,1.55,Betano.br,4.15,1.19,Betano.br,7.2,1.06,Betano.br,2.37,1.52
